Marca de Tiempo,Uso de Memoria (%)
11:19:50,86.8
11:19:51,86.9
11:19:52,86.8
11:19:53,86.9
11:19:54,86.7
11:19:55,86.7
11:19:56,86.8
11:19:57,86.8
11:19:58,86.7
11:19:59,86.8
11:20:00,87.0
11:20:01,87.0
11:20:02,87.0
11:20:03,87.0
11:20:04,87.0
11:20:05,87.1
11:20:06,87.2
11:20:07,87.3
11:20:08,87.3
11:20:09,87.9
11:20:10,87.3
11:20:11,87.4
11:20:12,87.3
11:20:13,87.5
11:20:14,86.3
11:20:15,86.2
11:20:16,86.2
11:20:17,85.8
11:20:18,85.5
11:20:19,85.5
11:20:20,85.0
11:20:21,84.2
11:20:22,84.3
11:20:23,84.4
11:20:24,84.7
11:20:25,83.9
11:20:26,84.0
11:20:27,84.0
11:20:28,84.1
11:20:29,83.9
11:20:30,83.9
11:20:31,84.1
11:20:32,84.1
